id,min_age,max_age,disease,calorie,difficulty,season,japanese_style,breakfast,lunch,dinner,reason,balance,advice
24,18,29,なし,2200,★★,冬,和食,ご飯・焼き鮭・味噌汁・みかん,豚肉の生姜焼き・キャベツ・ご飯,鶏団子鍋・野菜料理,体を温めながら栄養を補給する献立,たんぱく質★★★★★ 野菜★★★★★,鍋料理で野菜量を増やしましょう
25,18,29,なし,2300,★★,通年,洋食,トースト・スクランブルエッグ・ヨーグルト,チキンステーキ・サラダ・ご飯,白身魚のムニエル・野菜スープ,活動量に合わせてエネルギーを確保,たんぱく質★★★★★ 野菜★★★★☆,運動習慣と食事を組み合わせましょう
26,18,29,なし,2400,★★★,春,和食,ご飯・納豆・卵・味噌汁,牛肉野菜炒め・ご飯,鮭の塩焼き・豆腐・野菜煮物,消費量が多い人向けの充実した献立,たんぱく質★★★★★ 野菜★★★★☆,不足を感じたら主食量を調整しましょう
27,18,29,なし,1800,★,夏,和食,オートミール・牛乳・キウイ,鶏ささみサラダ・ご飯,豆腐ハンバーグ・味噌汁,低エネルギーでも栄養を確保した献立,たんぱく質★★★★☆ 野菜★★★★★,極端な食事制限は避けましょう
28,18,29,なし,2500,★★★,秋,混合,ご飯・納豆・卵・ヨーグルト,豚肉丼・野菜サラダ,鶏肉の照り焼き・ご飯・味噌汁,活動的な生活を支える高エネルギー献立,たんぱく質★★★★★ 野菜★★★★☆,運動量に合わせて食事量を調整しましょう
29,18,29,なし,2000,★,冬,和食,玄米ご飯・納豆・味噌汁・みかん,鮭おにぎり・野菜サラダ,鶏肉の塩麹焼き・小松菜のおひたし,消化しやすく栄養価を整えた献立,たんぱく質★★★★★ 野菜★★★★★,よく噛んで食べることを意識しましょう
30,18,29,なし,2100,★★,通年,中華,ご飯・卵スープ・ヨーグルト,八宝菜・ご飯,蒸し鶏・野菜炒め,多種類の食材を取り入れた献立,たんぱく質★★★★☆ 野菜★★★★★,野菜の種類を増やしましょう
31,18,29,なし,2200,★★,春,和食,ご飯・納豆・味噌汁・オレンジ,鶏肉の照り焼き・サラダ,さばの味噌煮・冷奴,魚と肉を組み合わせたバランス献立,たんぱく質★★★★★ 野菜★★★★☆,青魚を定期的に食べましょう
32,18,29,なし,2300,★★,夏,洋食,パン・卵・牛乳・バナナ,パスタ・サラダ・スープ,鶏肉のグリル・温野菜,エネルギー補給と栄養バランスを両立,たんぱく質★★★★☆ 野菜★★★★☆,主食だけに偏らないようにしましょう
33,18,29,なし,1900,★,秋,和食,ご飯・豆腐味噌汁・納豆,豚しゃぶ・野菜添え,鮭のホイル焼き・ひじき煮,脂質を抑えながら栄養を確保,たんぱく質★★★★★ 野菜★★★★★,食物繊維を毎食取り入れましょう
34,18,29,なし,2400,★★★,冬,和食,ご飯・卵焼き・納豆・味噌汁,鶏肉の親子丼・サラダ,ぶり大根・ご飯,冬の活動量低下を防ぐ献立,たんぱく質★★★★★ 野菜★★★★☆,不足しやすい栄養素を意識しましょう
35,18,29,なし,2100,★★,春,洋食,全粒パン・ヨーグルト・果物,チキントマト煮・ご飯,魚のグリル・野菜スープ,ビタミン類を補える献立,たんぱく質★★★★☆ 野菜★★★★★,果物も適量取り入れましょう
36,18,29,なし,2200,★★,夏,和食,ご飯・納豆・味噌汁・キウイ,豚肉と野菜炒め・ご飯,鮭の塩焼き・冷奴,夏場の栄養不足を防ぐ献立,たんぱく質★★★★★ 野菜★★★★☆,食欲がない時も欠食を避けましょう
37,18,29,なし,2000,★,秋,和食,玄米ご飯・卵・味噌汁,鶏むね肉の蒸し焼き・サラダ,さばの塩焼き・野菜煮物,筋肉維持を意識した献立,たんぱく質★★★★★ 野菜★★★★★,たんぱく質を毎食摂りましょう
38,18,29,なし,2300,★★,冬,混合,ご飯・納豆・ヨーグルト,牛肉炒め・ご飯・サラダ,鮭鍋・野菜料理,寒い時期のエネルギー補給を考慮,たんぱく質★★★★★ 野菜★★★★★,温かい食事を取り入れましょう
39,18,29,なし,1800,★,通年,和食,ご飯・納豆・味噌汁・りんご,鶏ささみ丼・野菜サラダ,豆腐料理・魚料理,低カロリーでも栄養を確保した献立,たんぱく質★★★★☆ 野菜★★★★★,間食の量にも注意しましょう
40,18,29,なし,2200,★★,春,和食,ご飯・焼き鮭・味噌汁・いちご,豚肉の野菜巻き・ご飯,鶏肉の照り焼き・ほうれん草のおひたし,基本的な栄養バランスを整えた献立,たんぱく質★★★★★ 野菜★★★★★,毎日3食を継続しましょう
41,18,29,なし,1900,★,春,和食,ご飯・納豆・味噌汁・バナナ,鶏むね肉の野菜炒め・ご飯,鮭の塩焼き・ひじき煮,筋肉維持に必要なたんぱく質を確保する献立,たんぱく質★★★★★ 野菜★★★★★,毎食主菜を取り入れましょう
42,18,29,なし,2000,★★,夏,和食,玄米ご飯・卵焼き・味噌汁・キウイ,豚しゃぶサラダ・ご飯,さばの味噌煮・冷奴,良質な脂質と野菜を補給できる献立,たんぱく質★★★★★ 野菜★★★★☆,魚料理を週に数回取り入れましょう
43,18,29,なし,2100,★★,秋,和食,ご飯・納豆・豆腐味噌汁・りんご,鶏肉の照り焼き・野菜サラダ,ぶり大根・小松菜のおひたし,秋の食材を活用したバランス献立,たんぱく質★★★★★ 野菜★★★★★,旬の食材を楽しみながら食べましょう
44,18,29,なし,2200,★★,冬,和食,ご飯・焼き鮭・味噌汁・みかん,豚肉の生姜焼き・キャベツ・ご飯,鶏団子鍋・野菜料理,エネルギーと栄養を両立した献立,たんぱく質★★★★★ 野菜★★★★★,温かい汁物で野菜を補いましょう
45,18,29,なし,2300,★★,通年,洋食,トースト・卵・ヨーグルト・バナナ,チキンステーキ・サラダ・ご飯,白身魚のムニエル・野菜スープ,活動量が多い人向けのエネルギー補給,たんぱく質★★★★★ 野菜★★★★☆,運動後はたんぱく質を摂取しましょう
46,18,29,なし,2400,★★★,春,和食,ご飯・納豆・卵・味噌汁,牛肉と野菜炒め・ご飯,鮭の塩焼き・豆腐・煮物,消費エネルギーが高い人向けの献立,たんぱく質★★★★★ 野菜★★★★☆,活動量に合わせて量を調整しましょう
47,18,29,なし,1800,★,夏,和食,オートミール・牛乳・果物,鶏ささみサラダ・ご飯,豆腐ハンバーグ・味噌汁,低エネルギーでも栄養を確保した献立,たんぱく質★★★★☆ 野菜★★★★★,無理な減量は避けましょう
48,18,29,なし,2500,★★★,秋,混合,ご飯・納豆・卵・ヨーグルト,豚肉丼・野菜サラダ,鶏肉の照り焼き・ご飯・味噌汁,高い活動量を支える十分なエネルギー量,たんぱく質★★★★★ 野菜★★★★☆,必要以上の間食に注意しましょう
49,18,29,なし,2000,★,冬,和食,玄米ご飯・納豆・味噌汁・りんご,鮭のおにぎり・野菜サラダ,鶏肉の塩麹焼き・青菜のおひたし,消化に配慮した栄養バランス献立,たんぱく質★★★★★ 野菜★★★★★,ゆっくり食事を楽しみましょう
50,18,29,なし,2100,★★,通年,中華,ご飯・卵スープ・ヨーグルト,八宝菜・ご飯,蒸し鶏・野菜炒め,多種類の食材を使用した献立,たんぱく質★★★★☆ 野菜★★★★★,野菜の種類を増やす工夫をしましょう
51,18,29,なし,2200,★★,春,和食,ご飯・納豆・味噌汁・オレンジ,鶏肉の照り焼き・サラダ,さばの塩焼き・冷奴,魚と肉を組み合わせた献立,たんぱく質★★★★★ 野菜★★★★☆,主菜を毎食変えて楽しみましょう
52,18,29,なし,2300,★★,夏,洋食,パン・スクランブルエッグ・牛乳,パスタ・サラダ・スープ,鶏肉のグリル・温野菜,エネルギー不足を防ぐ洋風献立,たんぱく質★★★★☆ 野菜★★★★☆,主食だけにならないよう注意しましょう
53,18,29,なし,1900,★,秋,和食,ご飯・豆腐味噌汁・納豆,豚しゃぶ・野菜添え,鮭のホイル焼き・ひじき煮,脂質を抑えた健康的な献立,たんぱく質★★★★★ 野菜★★★★★,食物繊維を毎食摂りましょう
54,18,29,なし,2400,★★★,冬,和食,ご飯・卵焼き・納豆・味噌汁,親子丼・サラダ,ぶり大根・ご飯,冬のエネルギー消費を考えた献立,たんぱく質★★★★★ 野菜★★★★☆,不足する栄養素を補いましょう
55,18,29,なし,2100,★★,春,洋食,全粒パン・ヨーグルト・果物,チキントマト煮・ご飯,魚のグリル・野菜スープ,ビタミンやミネラルを補える献立,たんぱく質★★★★☆ 野菜★★★★★,果物を適量取り入れましょう
56,18,29,なし,2200,★★,夏,和食,ご飯・納豆・味噌汁・キウイ,豚肉と野菜炒め・ご飯,鮭の塩焼き・冷奴,夏の食欲低下を防ぐ献立,たんぱく質★★★★★ 野菜★★★★☆,食欲がなくても欠食を避けましょう
57,18,29,なし,2000,★,秋,和食,玄米ご飯・卵・味噌汁,鶏むね肉の蒸し焼き・サラダ,さばの塩焼き・野菜煮物,筋肉維持を意識した献立,たんぱく質★★★★★ 野菜★★★★★,たんぱく質を毎食意識しましょう
58,18,29,なし,2300,★★,冬,混合,ご飯・納豆・ヨーグルト,牛肉炒め・ご飯・サラダ,鮭鍋・野菜料理,寒い季節の体力維持を支える献立,たんぱく質★★★★★ 野菜★★★★★,温かい料理を活用しましょう
59,18,29,なし,1800,★,通年,和食,ご飯・納豆・味噌汁・りんご,鶏ささみ丼・野菜サラダ,豆腐料理・魚料理,低カロリーでも栄養密度を高めた献立,たんぱく質★★★★☆ 野菜★★★★★,間食量を調整しましょう
60,18,29,なし,2200,★★,春,和食,ご飯・焼き鮭・味噌汁・いちご,豚肉の野菜巻き・ご飯,鶏肉の照り焼き・ほうれん草のおひたし,基本的な栄養バランスを整えた献立,たんぱく質★★★★★ 野菜★★★★★,規則正しい食事を続けましょう
61,18,29,高血圧,1800,★,通年,和食,玄米ご飯・納豆・減塩味噌汁・バナナ,鶏むね肉の蒸し焼き・野菜サラダ・ご飯,鮭の塩焼き・小松菜のおひたし・豆腐,塩分を抑えながら筋肉維持に必要なたんぱく質を確保,たんぱく質★★★★★ 野菜★★★★★ 減塩★★★★★,調味料は控えめにして素材の味を楽しみましょう
62,18,29,高血圧,1900,★,春,和食,ご飯・納豆・減塩味噌汁・りんご,豚しゃぶサラダ・ご飯,さわらの焼き物・ひじき煮,野菜と食物繊維を多く取り入れた献立,たんぱく質★★★★☆ 野菜★★★★★ 減塩★★★★★,野菜を毎食取り入れる習慣をつけましょう
63,18,29,高血圧,2000,★★,夏,和食,玄米ご飯・卵焼き・豆腐味噌汁・キウイ,鶏肉の冷しゃぶ・野菜サラダ,鮭のホイル焼き・ほうれん草のおひたし,カリウムを含む食品を意識した献立,たんぱく質★★★★★ 野菜★★★★★ 減塩★★★★★,水分補給も血圧管理には重要です
64,18,29,高血圧,2100,★★,秋,和食,ご飯・納豆・減塩味噌汁・みかん,鶏肉の照り焼き・野菜添え・ご飯,ぶり大根・青菜のおひたし,エネルギーを確保しながら塩分を調整,たんぱく質★★★★★ 野菜★★★★☆ 減塩★★★★☆,加工食品の摂取量に注意しましょう
65,18,29,高血圧,2200,★★,冬,和食,ご飯・焼き鮭・減塩味噌汁・果物,豚肉の生姜焼き・キャベツ・ご飯,鶏団子鍋・野菜料理,温かい料理で野菜量を増やす献立,たんぱく質★★★★★ 野菜★★★★★ 減塩★★★★☆,汁物は飲み過ぎないようにしましょう
66,18,29,高血圧,2300,★★,通年,洋食,全粒パン・ヨーグルト・バナナ,鶏肉のトマト煮・サラダ,白身魚のムニエル・野菜スープ,野菜を使って満足感を高めた献立,たんぱく質★★★★☆ 野菜★★★★★ 減塩★★★★★,酸味や香辛料を活用しましょう
67,18,29,高血圧,2400,★★★,春,和食,ご飯・納豆・卵・減塩味噌汁,牛肉と野菜炒め・ご飯,鮭の塩麹焼き・冷奴・野菜煮物,活動量が多い人向けの減塩献立,たんぱく質★★★★★ 野菜★★★★☆ 減塩★★★★☆,主食量は活動量に合わせて調整しましょう
68,18,29,高血圧,2500,★★★,夏,混合,ご飯・卵・ヨーグルト・果物,鶏肉カレー・サラダ,豚肉の生姜焼き・温野菜,エネルギーを確保しながら塩分を管理,たんぱく質★★★★★ 野菜★★★★☆ 減塩★★★★☆,カレーなどは塩分量を意識しましょう
69,18,29,高血圧,2000,★,秋,和食,玄米ご飯・納豆・減塩味噌汁・梨,鮭のおにぎり・野菜サラダ,鶏肉の塩麹焼き・小松菜のおひたし,食物繊維とミネラルを補える献立,たんぱく質★★★★★ 野菜★★★★★ 減塩★★★★★,果物や野菜からカリウムを摂取しましょう
70,18,29,高血圧,2100,★★,冬,和食,ご飯・卵焼き・減塩味噌汁,親子丼・サラダ,さばの味噌煮・冷奴,魚の脂質を活用した献立,たんぱく質★★★★★ 野菜★★★★☆ 減塩★★★★☆,魚料理を取り入れましょう
71,18,29,高血圧,2200,★★,春,和食,ご飯・納豆・豆腐味噌汁・いちご,鶏肉の香草焼き・野菜サラダ,あじの南蛮漬け・ひじき煮,香味を利用して減塩した献立,たんぱく質★★★★★ 野菜★★★★★ 減塩★★★★★,塩ではなく香りで満足感を高めましょう
72,18,29,高血圧,1900,★,夏,和食,オートミール・牛乳・キウイ,豚しゃぶサラダ・ご飯,赤魚の煮付け・野菜のおひたし,低塩で栄養バランスを整えた献立,たんぱく質★★★★☆ 野菜★★★★★ 減塩★★★★★,外食時は汁物を控えめにしましょう
73,18,29,高血圧,2300,★★,秋,和食,ご飯・納豆・減塩味噌汁・りんご,鶏肉の照り焼き・サラダ,鮭のホイル焼き・野菜煮物,抗酸化食品を取り入れた献立,たんぱく質★★★★★ 野菜★★★★★ 減塩★★★★★,野菜の種類を増やしましょう
74,18,29,高血圧,1800,★,冬,和食,玄米ご飯・納豆・味噌汁・みかん,鶏ささみサラダ・ご飯,豆腐ハンバーグ・野菜スープ,低カロリーでも塩分管理を意識した献立,たんぱく質★★★★☆ 野菜★★★★★ 減塩★★★★★,極端な食事制限は避けましょう
75,18,29,高血圧,2200,★★,通年,中華,ご飯・卵スープ・ヨーグルト,八宝菜・ご飯,蒸し鶏・野菜炒め,油と塩分を調整した中華献立,たんぱく質★★★★☆ 野菜★★★★★ 減塩★★★★☆,味付けを薄めに調整しましょう
76,18,29,高血圧,2100,★★,春,和食,ご飯・納豆・減塩味噌汁・オレンジ,豚肉と野菜炒め・ご飯,さばの塩焼き・冷奴,血圧管理に配慮した家庭料理,たんぱく質★★★★★ 野菜★★★★☆ 減塩★★★★★,野菜料理を一品追加しましょう
77,18,29,高血圧,2400,★★★,夏,洋食,全粒パン・卵・ヨーグルト,チキンステーキ・サラダ,魚のグリル・野菜スープ,活動量に合わせた減塩洋食,たんぱく質★★★★★ 野菜★★★★★ 減塩★★★★☆,脂質と塩分を確認しましょう
78,18,29,高血圧,2000,★,秋,和食,ご飯・納豆・味噌汁・柿,鶏むね肉の蒸し料理・野菜サラダ,ぶり大根・小松菜のおひたし,血圧管理と栄養補給を両立した献立,たんぱく質★★★★★ 野菜★★★★★ 減塩★★★★★,旬の野菜を活用しましょう
79,18,29,高血圧,2300,★★,冬,和食,ご飯・卵・減塩味噌汁・バナナ,豚しゃぶ・ご飯・サラダ,鮭鍋・野菜料理,野菜量を確保した冬向け献立,たんぱく質★★★★★ 野菜★★★★★ 減塩★★★★★,鍋料理では汁を飲みすぎないようにしましょう
80,18,29,高血圧,2200,★★,通年,和食,ご飯・納豆・減塩味噌汁・果物,鶏肉の照り焼き・野菜サラダ,さばのレモン焼き・冷奴,基本的な減塩バランス献立,たんぱく質★★★★★ 野菜★★★★★ 減塩★★★★★,継続できる減塩習慣を作りましょう
81,18,29,高血圧,1900,★,春,和食,ご飯・納豆・減塩味噌汁・いちご,鶏むね肉の照り焼き・野菜サラダ・ご飯,さわらの焼き物・ひじき煮・豆腐,低脂質で塩分を控えた基本献立,たんぱく質★★★★★ 野菜★★★★★ 減塩★★★★★,香味野菜を使って薄味でも満足感を出しましょう
82,18,29,高血圧,2000,★★,夏,和食,玄米ご飯・卵焼き・減塩味噌汁・キウイ,豚しゃぶサラダ・ご飯,鮭のホイル焼き・小松菜のおひたし,カリウム豊富な野菜を取り入れた献立,たんぱく質★★★★☆ 野菜★★★★★ 減塩★★★★★,汗をかく季節も塩分摂取量に注意しましょう
83,18,29,高血圧,2100,★★,秋,和食,ご飯・納豆・豆腐味噌汁・りんご,鶏肉の野菜炒め・ご飯,ぶりの照り焼き・ほうれん草のおひたし,エネルギーと減塩を両立した献立,たんぱく質★★★★★ 野菜★★★★☆ 減塩★★★★★,食事記録をつけると管理しやすくなります
84,18,29,高血圧,2200,★★,冬,和食,ご飯・焼き鮭・減塩味噌汁・みかん,豚肉の生姜焼き・キャベツ・ご飯,鶏団子鍋・野菜料理,温かい料理で野菜摂取量を確保,たんぱく質★★★★★ 野菜★★★★★ 減塩★★★★☆,汁物の回数を調整しましょう
85,18,29,高血圧,2300,★★,通年,洋食,全粒パン・ヨーグルト・バナナ,鶏肉のトマト煮・サラダ・ご飯,白身魚のグリル・野菜スープ,野菜の旨味を活用した減塩献立,たんぱく質★★★★☆ 野菜★★★★★ 減塩★★★★★,トマトや酢で味付けを工夫しましょう
86,18,29,高血圧,2400,★★★,春,和食,ご飯・納豆・卵・減塩味噌汁,牛肉と野菜炒め・ご飯,鮭の塩麹焼き・冷奴・煮物,活動量が高い人向けの栄養確保献立,たんぱく質★★★★★ 野菜★★★★☆ 減塩★★★★☆,食べる量と運動量のバランスを意識しましょう
87,18,29,高血圧,2500,★★★,夏,混合,ご飯・卵・ヨーグルト・果物,鶏肉カレー・野菜サラダ,豚肉の生姜焼き・温野菜,高エネルギーでも塩分に配慮した献立,たんぱく質★★★★★ 野菜★★★★☆ 減塩★★★★☆,加工ルーの量に注意しましょう
88,18,29,高血圧,1800,★,秋,和食,玄米ご飯・納豆・減塩味噌汁・梨,鶏ささみサラダ・ご飯,赤魚の煮付け・青菜のおひたし,低カロリーで血圧管理を意識した献立,たんぱく質★★★★☆ 野菜★★★★★ 減塩★★★★★,無理な食事制限は続きませんので注意しましょう
89,18,29,高血圧,2100,★★,冬,和食,ご飯・卵焼き・減塩味噌汁,親子丼・野菜サラダ,さばの味噌煮・冷奴,魚と大豆食品を組み合わせた献立,たんぱく質★★★★★ 野菜★★★★☆ 減塩★★★★☆,魚の脂質を上手に活用しましょう
90,18,29,高血圧,2200,★★,春,和食,ご飯・納豆・味噌汁・オレンジ,鶏肉の香草焼き・野菜サラダ,あじの南蛮漬け・ひじき煮,香りを利用して塩分を抑えた献立,たんぱく質★★★★★ 野菜★★★★★ 減塩★★★★★,酢や香辛料で味の変化を楽しみましょう
91,18,29,高血圧,1900,★,夏,和食,オートミール・牛乳・キウイ,豚しゃぶ・野菜サラダ,赤魚の煮付け・小松菜のおひたし,食物繊維を重視した献立,たんぱく質★★★★☆ 野菜★★★★★ 減塩★★★★★,野菜から食べる習慣をつけましょう
92,18,29,高血圧,2300,★★,秋,和食,ご飯・納豆・減塩味噌汁・柿,鶏肉の照り焼き・サラダ,鮭のホイル焼き・野菜煮物,旬の食材で栄養を補う献立,たんぱく質★★★★★ 野菜★★★★★ 減塩★★★★★,旬の食材は栄養価も高くおすすめです
93,18,29,高血圧,1800,★,冬,和食,ご飯・納豆・味噌汁・みかん,鶏ささみ丼・野菜サラダ,豆腐ハンバーグ・野菜スープ,塩分とエネルギーを調整した献立,たんぱく質★★★★☆ 野菜★★★★★ 減塩★★★★★,薄味でも継続することが大切です
94,18,29,高血圧,2200,★★,通年,中華,ご飯・卵スープ・ヨーグルト,八宝菜・ご飯,蒸し鶏・野菜炒め,油と塩分を控えた中華献立,たんぱく質★★★★☆ 野菜★★★★★ 減塩★★★★☆,中華料理は調味料量を意識しましょう
95,18,29,高血圧,2100,★★,春,和食,ご飯・納豆・減塩味噌汁・いちご,豚肉と野菜炒め・ご飯,さばの塩焼き・冷奴,家庭料理で続けやすい減塩献立,たんぱく質★★★★★ 野菜★★★★☆ 減塩★★★★★,毎日の小さな減塩を積み重ねましょう
96,18,29,高血圧,2400,★★★,夏,洋食,全粒パン・卵・ヨーグルト,チキンステーキ・サラダ,魚のグリル・野菜スープ,活動量に合わせた洋風減塩献立,たんぱく質★★★★★ 野菜★★★★★ 減塩★★★★☆,ソース類は控えめに使用しましょう
97,18,29,高血圧,2000,★,秋,和食,玄米ご飯・納豆・味噌汁・りんご,鶏むね肉の蒸し料理・サラダ,ぶり大根・小松菜のおひたし,食物繊維とたんぱく質を確保した献立,たんぱく質★★★★★ 野菜★★★★★ 減塩★★★★★,海藻や豆類も取り入れましょう
98,18,29,高血圧,2300,★★,冬,和食,ご飯・卵・減塩味噌汁・バナナ,豚しゃぶ・ご飯・サラダ,鮭鍋・野菜料理,冬場の栄養不足を防ぐ献立,たんぱく質★★★★★ 野菜★★★★★ 減塩★★★★★,鍋料理では具材を多くしましょう
99,18,29,高血圧,1900,★,通年,和食,ご飯・納豆・減塩味噌汁・果物,鶏ささみ丼・野菜サラダ,豆腐料理・魚料理,継続しやすい低塩献立,たんぱく質★★★★☆ 野菜★★★★★ 減塩★★★★★,無理なく続けられる方法を選びましょう
100,18,29,高血圧,2200,★★,春,和食,ご飯・焼き鮭・減塩味噌汁・いちご,豚肉の野菜巻き・ご飯,鶏肉の照り焼き・ほうれん草のおひたし,基本栄養と血圧管理を両立した献立,たんぱく質★★★★★ 野菜★★★★★ 減塩★★★★★,定期的に血圧を確認しましょう
